Country,Event month,Event Type,Fatalities
Honduras,2021-01-01,Riots,0
Honduras,2021-01-01,Strategic developments,0
Honduras,2021-01-01,Violence against civilians,55
India,2021-01-01,Battles,13
India,2021-01-01,Explosions/Remote violence,2
India,2021-01-01,Protests,0
India,2021-01-01,Riots,14
India,2021-01-01,Strategic developments,0
India,2021-01-01,Violence against civilians,32
Indonesia,2021-01-01,Battles,18
Indonesia,2021-01-01,Explosions/Remote violence,0
Indonesia,2021-01-01,Protests,0
Indonesia,2021-01-01,Riots,0
Indonesia,2021-01-01,Strategic developments,0
Indonesia,2021-01-01,Violence against civilians,2
Iran,2021-01-01,Battles,1
Iran,2021-01-01,Explosions/Remote violence,0
Iran,2021-01-01,Protests,0
Iran,2021-01-01,Riots,0
Iran,2021-01-01,Strategic developments,0
Iran,2021-01-01,Violence against civilians,3
Iraq,2021-01-01,Battles,121
Iraq,2021-01-01,Explosions/Remote violence,141
Iraq,2021-01-01,Protests,0
Iraq,2021-01-01,Riots,1
Iraq,2021-01-01,Strategic developments,9
Iraq,2021-01-01,Violence against civilians,16
Jamaica,2021-01-01,Battles,8
Jamaica,2021-01-01,Explosions/Remote violence,0
Jamaica,2021-01-01,Protests,0
Jamaica,2021-01-01,Riots,0
Jamaica,2021-01-01,Strategic developments,0
Jamaica,2021-01-01,Violence against civilians,28
Kenya,2021-01-01,Battles,35
Kenya,2021-01-01,Explosions/Remote violence,1
Kenya,2021-01-01,Protests,0
Kenya,2021-01-01,Riots,1
Kenya,2021-01-01,Strategic developments,0
Kenya,2021-01-01,Violence against civilians,14
Lebanon,2021-01-01,Battles,0
Lebanon,2021-01-01,Explosions/Remote violence,0
Lebanon,2021-01-01,Protests,0
Lebanon,2021-01-01,Riots,2
Lebanon,2021-01-01,Strategic developments,2
Lebanon,2021-01-01,Violence against civilians,0
Libya,2021-01-01,Battles,0
Libya,2021-01-01,Explosions/Remote violence,0
Libya,2021-01-01,Protests,0
Libya,2021-01-01,Riots,0
Libya,2021-01-01,Strategic developments,0
Libya,2021-01-01,Violence against civilians,2
Madagascar,2021-01-01,Battles,5
Madagascar,2021-01-01,Explosions/Remote violence,0
Madagascar,2021-01-01,Protests,0
Madagascar,2021-01-01,Riots,1
Madagascar,2021-01-01,Strategic developments,0
Madagascar,2021-01-01,Violence against civilians,0
Mali,2021-01-01,Battles,74
Mali,2021-01-01,Explosions/Remote violence,78
Mali,2021-01-01,Protests,0
Mali,2021-01-01,Riots,2
Mali,2021-01-01,Strategic developments,3
Mali,2021-01-01,Violence against civilians,31
Mexico,2021-01-01,Battles,174
Mexico,2021-01-01,Explosions/Remote violence,0
Mexico,2021-01-01,Protests,0
Mexico,2021-01-01,Riots,2
Mexico,2021-01-01,Strategic developments,0
Mexico,2021-01-01,Violence against civilians,617
Mozambique,2021-01-01,Battles,34
Mozambique,2021-01-01,Explosions/Remote violence,0
Mozambique,2021-01-01,Protests,0
Mozambique,2021-01-01,Riots,0
Mozambique,2021-01-01,Strategic developments,0
Mozambique,2021-01-01,Violence against civilians,27
Myanmar,2021-01-01,Battles,6
Myanmar,2021-01-01,Explosions/Remote violence,3
Myanmar,2021-01-01,Protests,0
Myanmar,2021-01-01,Riots,1
Myanmar,2021-01-01,Strategic developments,0
Myanmar,2021-01-01,Violence against civilians,9
Niger,2021-01-01,Battles,20
Niger,2021-01-01,Explosions/Remote violence,8
Niger,2021-01-01,Protests,0
Niger,2021-01-01,Riots,0
Niger,2021-01-01,Strategic developments,0
Niger,2021-01-01,Violence against civilians,115
Nigeria,2021-01-01,Battles,580
Nigeria,2021-01-01,Explosions/Remote violence,149
Nigeria,2021-01-01,Protests,1
Nigeria,2021-01-01,Riots,46
Nigeria,2021-01-01,Strategic developments,0
Nigeria,2021-01-01,Violence against civilians,236
Pakistan,2021-01-01,Battles,37
Pakistan,2021-01-01,Explosions/Remote violence,9
Pakistan,2021-01-01,Protests,0
Pakistan,2021-01-01,Riots,6
Pakistan,2021-01-01,Strategic developments,0
Pakistan,2021-01-01,Violence against civilians,36
Palestine,2021-01-01,Battles,3
Palestine,2021-01-01,Explosions/Remote violence,0
Palestine,2021-01-01,Protests,0
Palestine,2021-01-01,Riots,1
Palestine,2021-01-01,Strategic developments,0
Palestine,2021-01-01,Violence against civilians,1
Peru,2021-01-01,Battles,3
Peru,2021-01-01,Explosions/Remote violence,0
Peru,2021-01-01,Protests,0
Peru,2021-01-01,Riots,0
Peru,2021-01-01,Strategic developments,0
Peru,2021-01-01,Violence against civilians,0
Philippines,2021-01-01,Battles,42
Philippines,2021-01-01,Explosions/Remote violence,8
Philippines,2021-01-01,Protests,0
Philippines,2021-01-01,Riots,0
Philippines,2021-01-01,Strategic developments,0
Philippines,2021-01-01,Violence against civilians,112
Puerto Rico,2021-01-01,Battles,9
Puerto Rico,2021-01-01,Explosions/Remote violence,0
Puerto Rico,2021-01-01,Protests,0
Puerto Rico,2021-01-01,Riots,0
Puerto Rico,2021-01-01,Strategic developments,0
Puerto Rico,2021-01-01,Violence against civilians,10
Russia,2021-01-01,Battles,6
Russia,2021-01-01,Explosions/Remote violence,0
Russia,2021-01-01,Protests,0
Russia,2021-01-01,Riots,0
Russia,2021-01-01,Strategic developments,0
Russia,2021-01-01,Violence against civilians,0
Rwanda,2021-01-01,Battles,0
Rwanda,2021-01-01,Explosions/Remote violence,0
Rwanda,2021-01-01,Protests,0
Rwanda,2021-01-01,Riots,0
Rwanda,2021-01-01,Strategic developments,0
Rwanda,2021-01-01,Violence against civilians,0
Senegal,2021-01-01,Battles,0
Senegal,2021-01-01,Explosions/Remote violence,0
Senegal,2021-01-01,Protests,0
Senegal,2021-01-01,Riots,0
Senegal,2021-01-01,Strategic developments,0
Senegal,2021-01-01,Violence against civilians,0
Sierra Leone,2021-01-01,Battles,0
Sierra Leone,2021-01-01,Explosions/Remote violence,0
Sierra Leone,2021-01-01,Protests,0
Sierra Leone,2021-01-01,Riots,0
Sierra Leone,2021-01-01,Strategic developments,0
Sierra Leone,2021-01-01,Violence against civilians,0
Somalia,2021-01-01,Battles,175
Somalia,2021-01-01,Explosions/Remote violence,115
Somalia,2021-01-01,Protests,0
Somalia,2021-01-01,Riots,0
Somalia,2021-01-01,Strategic developments,0
Somalia,2021-01-01,Violence against civilians,33
South Sudan,2021-01-01,Battles,58
South Sudan,2021-01-01,Explosions/Remote violence,0
South Sudan,2021-01-01,Protests,0
South Sudan,2021-01-01,Riots,0
South Sudan,2021-01-01,Strategic developments,0
South Sudan,2021-01-01,Violence against civilians,62
Sudan,2021-01-01,Battles,176
Sudan,2021-01-01,Explosions/Remote violence,0
Sudan,2021-01-01,Protests,0
Sudan,2021-01-01,Riots,0
Sudan,2021-01-01,Strategic developments,0
Sudan,2021-01-01,Violence against civilians,117
Syria,2021-01-01,Battles,385
Syria,2021-01-01,Explosions/Remote violence,287
Syria,2021-01-01,Protests,0
Syria,2021-01-01,Riots,0
Syria,2021-01-01,Strategic developments,0
Syria,2021-01-01,Violence against civilians,68
Thailand,2021-01-01,Battles,0
Thailand,2021-01-01,Explosions/Remote violence,0
Thailand,2021-01-01,Protests,0
Thailand,2021-01-01,Riots,0
Thailand,2021-01-01,Strategic developments,0
Thailand,2021-01-01,Violence against civilians,2
Trinidad and Tobago,2021-01-01,Battles,3
Trinidad and Tobago,2021-01-01,Explosions/Remote violence,0
Trinidad and Tobago,2021-01-01,Protests,0
Trinidad and Tobago,2021-01-01,Riots,0
Trinidad and Tobago,2021-01-01,Strategic developments,0
Trinidad and Tobago,2021-01-01,Violence against civilians,8
Turkey,2021-01-01,Battles,9
Turkey,2021-01-01,Explosions/Remote violence,1
Turkey,2021-01-01,Protests,0
Turkey,2021-01-01,Riots,0
Turkey,2021-01-01,Strategic developments,0
Turkey,2021-01-01,Violence against civilians,0
Uganda,2021-01-01,Battles,6
Uganda,2021-01-01,Explosions/Remote violence,0
Uganda,2021-01-01,Protests,1
Uganda,2021-01-01,Riots,3
Uganda,2021-01-01,Strategic developments,0
Uganda,2021-01-01,Violence against civilians,11
Ukraine,2021-01-01,Battles,3
Ukraine,2021-01-01,Explosions/Remote violence,1
Ukraine,2021-01-01,Protests,0
Ukraine,2021-01-01,Riots,0
Ukraine,2021-01-01,Strategic developments,0
Ukraine,2021-01-01,Violence against civilians,0
Venezuela,2021-01-01,Battles,166
Venezuela,2021-01-01,Explosions/Remote violence,0
Venezuela,2021-01-01,Protests,0
Venezuela,2021-01-01,Riots,1
Venezuela,2021-01-01,Strategic developments,0
Venezuela,2021-01-01,Violence against civilians,40
Yemen,2021-01-01,Battles,667
Yemen,2021-01-01,Explosions/Remote violence,273
Yemen,2021-01-01,Protests,0
Yemen,2021-01-01,Riots,0
Yemen,2021-01-01,Strategic developments,0
Yemen,2021-01-01,Violence against civilians,28
Zambia,2021-01-01,Battles,1
Zambia,2021-01-01,Explosions/Remote violence,0
Zambia,2021-01-01,Protests,0
Zambia,2021-01-01,Riots,0
Zambia,2021-01-01,Strategic developments,0
Zambia,2021-01-01,Violence against civilians,0
Armenia,2021-01-01,Battles,0
Armenia,2021-01-01,Explosions/Remote violence,0
Armenia,2021-01-01,Protests,0
Armenia,2021-01-01,Riots,0
Armenia,2021-01-01,Strategic developments,0
Armenia,2021-01-01,Violence against civilians,0
Djibouti,2021-01-01,Battles,0
Djibouti,2021-01-01,Explosions/Remote violence,1
Djibouti,2021-01-01,Protests,0
Djibouti,2021-01-01,Riots,0
Djibouti,2021-01-01,Strategic developments,0
Djibouti,2021-01-01,Violence against civilians,1
Mauritania,2021-01-01,Battles,0
Mauritania,2021-01-01,Explosions/Remote violence,0
Mauritania,2021-01-01,Protests,0
Mauritania,2021-01-01,Riots,0
Mauritania,2021-01-01,Strategic developments,0
Mauritania,2021-01-01,Violence against civilians,0
Morocco,2021-01-01,Battles,0
Morocco,2021-01-01,Explosions/Remote violence,0
Morocco,2021-01-01,Protests,0
Morocco,2021-01-01,Riots,0
Morocco,2021-01-01,Strategic developments,0
Morocco,2021-01-01,Violence against civilians,0
Nepal,2021-01-01,Battles,0
Nepal,2021-01-01,Explosions/Remote violence,0
Nepal,2021-01-01,Protests,0
Nepal,2021-01-01,Riots,0
Nepal,2021-01-01,Strategic developments,0
Nepal,2021-01-01,Violence against civilians,2
Saudi Arabia,2021-01-01,Battles,0
Saudi Arabia,2021-01-01,Explosions/Remote violence,0
Saudi Arabia,2021-01-01,Protests,0
Saudi Arabia,2021-01-01,Riots,0
Saudi Arabia,2021-01-01,Strategic developments,0
Saudi Arabia,2021-01-01,Violence against civilians,0
Tunisia,2021-01-01,Battles,0
Tunisia,2021-01-01,Explosions/Remote violence,1
Tunisia,2021-01-01,Protests,0
Tunisia,2021-01-01,Riots,0
Tunisia,2021-01-01,Strategic developments,0
Tunisia,2021-01-01,Violence against civilians,0
United States,2021-01-01,Battles,0
United States,2021-01-01,Explosions/Remote violence,0
United States,2021-01-01,Protests,0
United States,2021-01-01,Riots,3
United States,2021-01-01,Strategic developments,2
United States,2021-01-01,Violence against civilians,8
Albania,2021-01-01,Battles,0
Albania,2021-01-01,Explosions/Remote violence,0
Albania,2021-01-01,Protests,0
Albania,2021-01-01,Riots,0
Albania,2021-01-01,Strategic developments,0
Albania,2021-01-01,Violence against civilians,0
Andorra,2021-01-01,Battles,0
Andorra,2021-01-01,Explosions/Remote violence,0
Andorra,2021-01-01,Protests,0
Andorra,2021-01-01,Riots,0
Andorra,2021-01-01,Strategic developments,0
Andorra,2021-01-01,Violence against civilians,0
Angola,2021-01-01,Battles,0
Angola,2021-01-01,Explosions/Remote violence,0
Angola,2021-01-01,Protests,100
Angola,2021-01-01,Riots,0
Angola,2021-01-01,Strategic developments,0
Angola,2021-01-01,Violence against civilians,0
Argentina,2021-01-01,Battles,0
Argentina,2021-01-01,Explosions/Remote violence,0
Argentina,2021-01-01,Protests,0
Argentina,2021-01-01,Riots,0
Argentina,2021-01-01,Strategic developments,0
Argentina,2021-01-01,Violence against civilians,1
Australia,2021-01-01,Battles,0
Australia,2021-01-01,Explosions/Remote violence,0
Australia,2021-01-01,Protests,0
Australia,2021-01-01,Riots,0
Australia,2021-01-01,Strategic developments,0
Australia,2021-01-01,Violence against civilians,0
Austria,2021-01-01,Battles,0
Austria,2021-01-01,Explosions/Remote violence,0
Austria,2021-01-01,Protests,0
Austria,2021-01-01,Riots,0
Austria,2021-01-01,Strategic developments,0
Austria,2021-01-01,Violence against civilians,0
Bahrain,2021-01-01,Battles,0
Bahrain,2021-01-01,Explosions/Remote violence,0
Bahrain,2021-01-01,Protests,0
Bahrain,2021-01-01,Riots,0
Bahrain,2021-01-01,Strategic developments,0
Bahrain,2021-01-01,Violence against civilians,0
Belarus,2021-01-01,Battles,0
Belarus,2021-01-01,Explosions/Remote violence,0
Belarus,2021-01-01,Protests,0
Belarus,2021-01-01,Riots,0
Belarus,2021-01-01,Strategic developments,0
Belarus,2021-01-01,Violence against civilians,0
Belgium,2021-01-01,Battles,0
Belgium,2021-01-01,Explosions/Remote violence,0
Belgium,2021-01-01,Protests,0
Belgium,2021-01-01,Riots,0
Belgium,2021-01-01,Strategic developments,0
Belgium,2021-01-01,Violence against civilians,0
Bolivia,2021-01-01,Battles,0
Bolivia,2021-01-01,Explosions/Remote violence,0
Bolivia,2021-01-01,Protests,0
Bolivia,2021-01-01,Riots,1
Bolivia,2021-01-01,Strategic developments,0
Bolivia,2021-01-01,Violence against civilians,0
Bosnia and Herzegovina,2021-01-01,Battles,0
Bosnia and Herzegovina,2021-01-01,Explosions/Remote violence,0
Bosnia and Herzegovina,2021-01-01,Protests,0
Bosnia and Herzegovina,2021-01-01,Riots,0
Bosnia and Herzegovina,2021-01-01,Strategic developments,0
Bosnia and Herzegovina,2021-01-01,Violence against civilians,0
Bulgaria,2021-01-01,Battles,0
Bulgaria,2021-01-01,Explosions/Remote violence,0
Bulgaria,2021-01-01,Protests,0
Bulgaria,2021-01-01,Riots,0
Bulgaria,2021-01-01,Strategic developments,0
Bulgaria,2021-01-01,Violence against civilians,0
Cambodia,2021-01-01,Battles,0
Cambodia,2021-01-01,Explosions/Remote violence,0
Cambodia,2021-01-01,Protests,0
Cambodia,2021-01-01,Riots,0
Cambodia,2021-01-01,Strategic developments,0
Cambodia,2021-01-01,Violence against civilians,0
Canada,2021-01-01,Battles,0
Canada,2021-01-01,Explosions/Remote violence,0
Canada,2021-01-01,Protests,0
Canada,2021-01-01,Riots,0
Canada,2021-01-01,Strategic developments,0
Canada,2021-01-01,Violence against civilians,0
Cape Verde,2021-01-01,Battles,0
Cape Verde,2021-01-01,Explosions/Remote violence,0
Cape Verde,2021-01-01,Protests,0
Cape Verde,2021-01-01,Riots,0
Cape Verde,2021-01-01,Strategic developments,0
Cape Verde,2021-01-01,Violence against civilians,0
China,2021-01-01,Battles,0
China,2021-01-01,Explosions/Remote violence,0
China,2021-01-01,Protests,0
China,2021-01-01,Riots,0
China,2021-01-01,Strategic developments,0
China,2021-01-01,Violence against civilians,0
Costa Rica,2021-01-01,Battles,0
Costa Rica,2021-01-01,Explosions/Remote violence,0
Costa Rica,2021-01-01,Protests,0
Costa Rica,2021-01-01,Riots,0
Costa Rica,2021-01-01,Strategic developments,0
Costa Rica,2021-01-01,Violence against civilians,1
Croatia,2021-01-01,Battles,0
Croatia,2021-01-01,Explosions/Remote violence,0
Croatia,2021-01-01,Protests,0
Croatia,2021-01-01,Riots,0
Croatia,2021-01-01,Strategic developments,0
Croatia,2021-01-01,Violence against civilians,0
Cuba,2021-01-01,Battles,0
Cuba,2021-01-01,Explosions/Remote violence,0
Cuba,2021-01-01,Protests,0
Cuba,2021-01-01,Riots,0
Cuba,2021-01-01,Strategic developments,0
Cuba,2021-01-01,Violence against civilians,0
Cyprus,2021-01-01,Battles,0
Cyprus,2021-01-01,Explosions/Remote violence,0
Cyprus,2021-01-01,Protests,0
Cyprus,2021-01-01,Riots,0
Cyprus,2021-01-01,Strategic developments,0
Cyprus,2021-01-01,Violence against civilians,0
Czech Republic,2021-01-01,Battles,0
Czech Republic,2021-01-01,Explosions/Remote violence,0
Czech Republic,2021-01-01,Protests,0
Czech Republic,2021-01-01,Riots,0
Czech Republic,2021-01-01,Strategic developments,0
Czech Republic,2021-01-01,Violence against civilians,0
Denmark,2021-01-01,Battles,0
Denmark,2021-01-01,Explosions/Remote violence,0
Denmark,2021-01-01,Protests,0
Denmark,2021-01-01,Riots,0
Denmark,2021-01-01,Strategic developments,0
Denmark,2021-01-01,Violence against civilians,0
Dominican Republic,2021-01-01,Battles,0
Dominican Republic,2021-01-01,Explosions/Remote violence,0
Dominican Republic,2021-01-01,Protests,0
Dominican Republic,2021-01-01,Riots,0
Dominican Republic,2021-01-01,Strategic developments,0
Dominican Republic,2021-01-01,Violence against civilians,0
East Timor,2021-01-01,Battles,0
East Timor,2021-01-01,Explosions/Remote violence,0
East Timor,2021-01-01,Protests,0
East Timor,2021-01-01,Riots,0
East Timor,2021-01-01,Strategic developments,0
East Timor,2021-01-01,Violence against civilians,0
Ecuador,2021-01-01,Battles,0
Ecuador,2021-01-01,Explosions/Remote violence,0
Ecuador,2021-01-01,Protests,0
Ecuador,2021-01-01,Riots,0
Ecuador,2021-01-01,Strategic developments,0
Ecuador,2021-01-01,Violence against civilians,1
Estonia,2021-01-01,Battles,0
Estonia,2021-01-01,Explosions/Remote violence,0
Estonia,2021-01-01,Protests,0
Estonia,2021-01-01,Riots,0
Estonia,2021-01-01,Strategic developments,0
Estonia,2021-01-01,Violence against civilians,0
Finland,2021-01-01,Battles,0
Finland,2021-01-01,Explosions/Remote violence,0
Finland,2021-01-01,Protests,0
Finland,2021-01-01,Riots,0
Finland,2021-01-01,Strategic developments,0
Finland,2021-01-01,Violence against civilians,0
France,2021-01-01,Battles,0
France,2021-01-01,Explosions/Remote violence,0
France,2021-01-01,Protests,0
France,2021-01-01,Riots,0
France,2021-01-01,Strategic developments,0
France,2021-01-01,Violence against civilians,0
French Guiana,2021-01-01,Battles,0
French Guiana,2021-01-01,Explosions/Remote violence,0
French Guiana,2021-01-01,Protests,0
French Guiana,2021-01-01,Riots,0
French Guiana,2021-01-01,Strategic developments,0
French Guiana,2021-01-01,Violence against civilians,0
French Polynesia,2021-01-01,Battles,0
French Polynesia,2021-01-01,Explosions/Remote violence,0
French Polynesia,2021-01-01,Protests,0
French Polynesia,2021-01-01,Riots,0
French Polynesia,2021-01-01,Strategic developments,0
French Polynesia,2021-01-01,Violence against civilians,0
Gabon,2021-01-01,Battles,0
Gabon,2021-01-01,Explosions/Remote violence,0
Gabon,2021-01-01,Protests,0
Gabon,2021-01-01,Riots,0
Gabon,2021-01-01,Strategic developments,0
Gabon,2021-01-01,Violence against civilians,0
Georgia,2021-01-01,Battles,0
Georgia,2021-01-01,Explosions/Remote violence,0
Georgia,2021-01-01,Protests,0
Georgia,2021-01-01,Riots,0
Georgia,2021-01-01,Strategic developments,0
Georgia,2021-01-01,Violence against civilians,0
Germany,2021-01-01,Battles,0
Germany,2021-01-01,Explosions/Remote violence,0
Germany,2021-01-01,Protests,0
Germany,2021-01-01,Riots,0
Germany,2021-01-01,Strategic developments,0
Germany,2021-01-01,Violence against civilians,0
Ghana,2021-01-01,Battles,0
Ghana,2021-01-01,Explosions/Remote violence,0
Ghana,2021-01-01,Protests,0
Ghana,2021-01-01,Riots,1
Ghana,2021-01-01,Strategic developments,0
Ghana,2021-01-01,Violence against civilians,0
Guadeloupe,2021-01-01,Battles,0
Guadeloupe,2021-01-01,Explosions/Remote violence,0
Guadeloupe,2021-01-01,Protests,0
Guadeloupe,2021-01-01,Riots,0
Guadeloupe,2021-01-01,Strategic developments,0
Guadeloupe,2021-01-01,Violence against civilians,0
Guinea,2021-01-01,Battles,0
Guinea,2021-01-01,Explosions/Remote violence,0
Guinea,2021-01-01,Protests,0
Guinea,2021-01-01,Riots,1
Guinea,2021-01-01,Strategic developments,0
Guinea,2021-01-01,Violence against civilians,1
Guinea-Bissau,2021-01-01,Battles,0
Guinea-Bissau,2021-01-01,Explosions/Remote violence,0
Guinea-Bissau,2021-01-01,Protests,0
Guinea-Bissau,2021-01-01,Riots,0
Guinea-Bissau,2021-01-01,Strategic developments,0
Guinea-Bissau,2021-01-01,Violence against civilians,0
Hungary,2021-01-01,Battles,0
Hungary,2021-01-01,Explosions/Remote violence,0
Hungary,2021-01-01,Protests,0
Hungary,2021-01-01,Riots,0
Hungary,2021-01-01,Strategic developments,0
Hungary,2021-01-01,Violence against civilians,0
Iceland,2021-01-01,Battles,0
Iceland,2021-01-01,Explosions/Remote violence,0
Iceland,2021-01-01,Protests,0
Iceland,2021-01-01,Riots,0
Iceland,2021-01-01,Strategic developments,0
Iceland,2021-01-01,Violence against civilians,0
Ireland,2021-01-01,Battles,0
Ireland,2021-01-01,Explosions/Remote violence,0
Ireland,2021-01-01,Protests,0
Ireland,2021-01-01,Riots,0
Ireland,2021-01-01,Strategic developments,0
Ireland,2021-01-01,Violence against civilians,0
Israel,2021-01-01,Battles,0
Israel,2021-01-01,Explosions/Remote violence,0
Israel,2021-01-01,Protests,0
Israel,2021-01-01,Riots,0
Israel,2021-01-01,Strategic developments,0
Israel,2021-01-01,Violence against civilians,0
Italy,2021-01-01,Battles,0
Italy,2021-01-01,Explosions/Remote violence,0
Italy,2021-01-01,Protests,0
Italy,2021-01-01,Riots,0
Italy,2021-01-01,Strategic developments,0
Italy,2021-01-01,Violence against civilians,0
Ivory Coast,2021-01-01,Battles,0
Ivory Coast,2021-01-01,Explosions/Remote violence,0
Ivory Coast,2021-01-01,Protests,0
Ivory Coast,2021-01-01,Riots,1
Ivory Coast,2021-01-01,Strategic developments,0
Ivory Coast,2021-01-01,Violence against civilians,0
Japan,2021-01-01,Battles,0
Japan,2021-01-01,Explosions/Remote violence,0
Japan,2021-01-01,Protests,0
Japan,2021-01-01,Riots,0
Japan,2021-01-01,Strategic developments,0
Japan,2021-01-01,Violence against civilians,0
Jordan,2021-01-01,Battles,0
Jordan,2021-01-01,Explosions/Remote violence,0
Jordan,2021-01-01,Protests,0
