Country,Event month,Event Type,Events
Colombia,2021-01-01,Explosions/Remote violence,10
Colombia,2021-01-01,Protests,64
Colombia,2021-01-01,Riots,15
Colombia,2021-01-01,Strategic developments,31
Colombia,2021-01-01,Violence against civilians,126
Democratic Republic of Congo,2021-01-01,Battles,122
Democratic Republic of Congo,2021-01-01,Explosions/Remote violence,2
Democratic Republic of Congo,2021-01-01,Protests,29
Democratic Republic of Congo,2021-01-01,Riots,55
Democratic Republic of Congo,2021-01-01,Strategic developments,29
Democratic Republic of Congo,2021-01-01,Violence against civilians,123
Egypt,2021-01-01,Battles,4
Egypt,2021-01-01,Explosions/Remote violence,34
Egypt,2021-01-01,Protests,11
Egypt,2021-01-01,Riots,3
Egypt,2021-01-01,Strategic developments,2
Egypt,2021-01-01,Violence against civilians,8
El Salvador,2021-01-01,Battles,16
El Salvador,2021-01-01,Explosions/Remote violence,0
El Salvador,2021-01-01,Protests,24
El Salvador,2021-01-01,Riots,0
El Salvador,2021-01-01,Strategic developments,1
El Salvador,2021-01-01,Violence against civilians,32
Ethiopia,2021-01-01,Battles,120
Ethiopia,2021-01-01,Explosions/Remote violence,2
Ethiopia,2021-01-01,Protests,6
Ethiopia,2021-01-01,Riots,1
Ethiopia,2021-01-01,Strategic developments,7
Ethiopia,2021-01-01,Violence against civilians,37
Greece,2021-01-01,Battles,1
Greece,2021-01-01,Explosions/Remote violence,1
Greece,2021-01-01,Protests,38
Greece,2021-01-01,Riots,7
Greece,2021-01-01,Strategic developments,2
Greece,2021-01-01,Violence against civilians,1
Guatemala,2021-01-01,Battles,40
Guatemala,2021-01-01,Explosions/Remote violence,0
Guatemala,2021-01-01,Protests,31
Guatemala,2021-01-01,Riots,7
Guatemala,2021-01-01,Strategic developments,7
Guatemala,2021-01-01,Violence against civilians,19
Guyana,2021-01-01,Battles,1
Guyana,2021-01-01,Explosions/Remote violence,0
Guyana,2021-01-01,Protests,0
Guyana,2021-01-01,Riots,1
Guyana,2021-01-01,Strategic developments,1
Guyana,2021-01-01,Violence against civilians,0
Haiti,2021-01-01,Battles,16
Haiti,2021-01-01,Explosions/Remote violence,0
Haiti,2021-01-01,Protests,33
Haiti,2021-01-01,Riots,43
Haiti,2021-01-01,Strategic developments,6
Haiti,2021-01-01,Violence against civilians,35
Honduras,2021-01-01,Battles,7
Honduras,2021-01-01,Explosions/Remote violence,0
Honduras,2021-01-01,Protests,34
Honduras,2021-01-01,Riots,3
Honduras,2021-01-01,Strategic developments,4
Honduras,2021-01-01,Violence against civilians,49
India,2021-01-01,Battles,57
India,2021-01-01,Explosions/Remote violence,14
India,2021-01-01,Protests,1340
India,2021-01-01,Riots,123
India,2021-01-01,Strategic developments,20
India,2021-01-01,Violence against civilians,45
Indonesia,2021-01-01,Battles,8
Indonesia,2021-01-01,Explosions/Remote violence,0
Indonesia,2021-01-01,Protests,62
Indonesia,2021-01-01,Riots,4
Indonesia,2021-01-01,Strategic developments,10
Indonesia,2021-01-01,Violence against civilians,5
Iran,2021-01-01,Battles,2
Iran,2021-01-01,Explosions/Remote violence,1
Iran,2021-01-01,Protests,285
Iran,2021-01-01,Riots,2
Iran,2021-01-01,Strategic developments,10
Iran,2021-01-01,Violence against civilians,4
Iraq,2021-01-01,Battles,68
Iraq,2021-01-01,Explosions/Remote violence,157
Iraq,2021-01-01,Protests,164
Iraq,2021-01-01,Riots,28
Iraq,2021-01-01,Strategic developments,69
Iraq,2021-01-01,Violence against civilians,15
Jamaica,2021-01-01,Battles,8
Jamaica,2021-01-01,Explosions/Remote violence,0
Jamaica,2021-01-01,Protests,3
Jamaica,2021-01-01,Riots,1
Jamaica,2021-01-01,Strategic developments,3
Jamaica,2021-01-01,Violence against civilians,24
Kenya,2021-01-01,Battles,16
Kenya,2021-01-01,Explosions/Remote violence,3
Kenya,2021-01-01,Protests,14
Kenya,2021-01-01,Riots,22
Kenya,2021-01-01,Strategic developments,1
Kenya,2021-01-01,Violence against civilians,8
Lebanon,2021-01-01,Battles,5
Lebanon,2021-01-01,Explosions/Remote violence,0
Lebanon,2021-01-01,Protests,115
Lebanon,2021-01-01,Riots,52
Lebanon,2021-01-01,Strategic developments,12
Lebanon,2021-01-01,Violence against civilians,4
Libya,2021-01-01,Battles,1
Libya,2021-01-01,Explosions/Remote violence,0
Libya,2021-01-01,Protests,5
Libya,2021-01-01,Riots,0
Libya,2021-01-01,Strategic developments,0
Libya,2021-01-01,Violence against civilians,2
Madagascar,2021-01-01,Battles,4
Madagascar,2021-01-01,Explosions/Remote violence,0
Madagascar,2021-01-01,Protests,2
Madagascar,2021-01-01,Riots,7
Madagascar,2021-01-01,Strategic developments,2
Madagascar,2021-01-01,Violence against civilians,1
Mali,2021-01-01,Battles,23
Mali,2021-01-01,Explosions/Remote violence,28
Mali,2021-01-01,Protests,9
Mali,2021-01-01,Riots,4
Mali,2021-01-01,Strategic developments,18
Mali,2021-01-01,Violence against civilians,31
Mexico,2021-01-01,Battles,107
Mexico,2021-01-01,Explosions/Remote violence,1
Mexico,2021-01-01,Protests,335
Mexico,2021-01-01,Riots,63
Mexico,2021-01-01,Strategic developments,36
Mexico,2021-01-01,Violence against civilians,493
Mozambique,2021-01-01,Battles,13
Mozambique,2021-01-01,Explosions/Remote violence,0
Mozambique,2021-01-01,Protests,0
Mozambique,2021-01-01,Riots,0
Mozambique,2021-01-01,Strategic developments,1
Mozambique,2021-01-01,Violence against civilians,14
Myanmar,2021-01-01,Battles,24
Myanmar,2021-01-01,Explosions/Remote violence,13
Myanmar,2021-01-01,Protests,32
Myanmar,2021-01-01,Riots,5
Myanmar,2021-01-01,Strategic developments,15
Myanmar,2021-01-01,Violence against civilians,21
Niger,2021-01-01,Battles,7
Niger,2021-01-01,Explosions/Remote violence,3
Niger,2021-01-01,Protests,1
Niger,2021-01-01,Riots,0
Niger,2021-01-01,Strategic developments,14
Niger,2021-01-01,Violence against civilians,16
Nigeria,2021-01-01,Battles,135
Nigeria,2021-01-01,Explosions/Remote violence,41
Nigeria,2021-01-01,Protests,70
Nigeria,2021-01-01,Riots,24
Nigeria,2021-01-01,Strategic developments,8
Nigeria,2021-01-01,Violence against civilians,139
Pakistan,2021-01-01,Battles,19
Pakistan,2021-01-01,Explosions/Remote violence,6
Pakistan,2021-01-01,Protests,626
Pakistan,2021-01-01,Riots,18
Pakistan,2021-01-01,Strategic developments,4
Pakistan,2021-01-01,Violence against civilians,15
Palestine,2021-01-01,Battles,8
Palestine,2021-01-01,Explosions/Remote violence,8
Palestine,2021-01-01,Protests,55
Palestine,2021-01-01,Riots,195
Palestine,2021-01-01,Strategic developments,99
Palestine,2021-01-01,Violence against civilians,23
Peru,2021-01-01,Battles,1
Peru,2021-01-01,Explosions/Remote violence,0
Peru,2021-01-01,Protests,92
Peru,2021-01-01,Riots,16
Peru,2021-01-01,Strategic developments,2
Peru,2021-01-01,Violence against civilians,0
Philippines,2021-01-01,Battles,38
Philippines,2021-01-01,Explosions/Remote violence,6
Philippines,2021-01-01,Protests,17
Philippines,2021-01-01,Riots,0
Philippines,2021-01-01,Strategic developments,8
Philippines,2021-01-01,Violence against civilians,86
Puerto Rico,2021-01-01,Battles,6
Puerto Rico,2021-01-01,Explosions/Remote violence,0
Puerto Rico,2021-01-01,Protests,2
Puerto Rico,2021-01-01,Riots,0
Puerto Rico,2021-01-01,Strategic developments,0
Puerto Rico,2021-01-01,Violence against civilians,14
Russia,2021-01-01,Battles,1
Russia,2021-01-01,Explosions/Remote violence,0
Russia,2021-01-01,Protests,368
Russia,2021-01-01,Riots,3
Russia,2021-01-01,Strategic developments,34
Russia,2021-01-01,Violence against civilians,7
Rwanda,2021-01-01,Battles,1
Rwanda,2021-01-01,Explosions/Remote violence,0
Rwanda,2021-01-01,Protests,0
Rwanda,2021-01-01,Riots,0
Rwanda,2021-01-01,Strategic developments,0
Rwanda,2021-01-01,Violence against civilians,0
Senegal,2021-01-01,Battles,1
Senegal,2021-01-01,Explosions/Remote violence,0
Senegal,2021-01-01,Protests,2
Senegal,2021-01-01,Riots,3
Senegal,2021-01-01,Strategic developments,0
Senegal,2021-01-01,Violence against civilians,1
Sierra Leone,2021-01-01,Battles,1
Sierra Leone,2021-01-01,Explosions/Remote violence,0
Sierra Leone,2021-01-01,Protests,0
Sierra Leone,2021-01-01,Riots,2
Sierra Leone,2021-01-01,Strategic developments,0
Sierra Leone,2021-01-01,Violence against civilians,1
Somalia,2021-01-01,Battles,201
Somalia,2021-01-01,Explosions/Remote violence,79
Somalia,2021-01-01,Protests,8
Somalia,2021-01-01,Riots,0
Somalia,2021-01-01,Strategic developments,4
Somalia,2021-01-01,Violence against civilians,31
South Sudan,2021-01-01,Battles,21
South Sudan,2021-01-01,Explosions/Remote violence,0
South Sudan,2021-01-01,Protests,1
South Sudan,2021-01-01,Riots,4
South Sudan,2021-01-01,Strategic developments,8
South Sudan,2021-01-01,Violence against civilians,55
Sudan,2021-01-01,Battles,15
Sudan,2021-01-01,Explosions/Remote violence,1
Sudan,2021-01-01,Protests,47
Sudan,2021-01-01,Riots,15
Sudan,2021-01-01,Strategic developments,1
Sudan,2021-01-01,Violence against civilians,49
Syria,2021-01-01,Battles,232
Syria,2021-01-01,Explosions/Remote violence,497
Syria,2021-01-01,Protests,31
Syria,2021-01-01,Riots,5
Syria,2021-01-01,Strategic developments,118
Syria,2021-01-01,Violence against civilians,168
Thailand,2021-01-01,Battles,3
Thailand,2021-01-01,Explosions/Remote violence,1
Thailand,2021-01-01,Protests,31
Thailand,2021-01-01,Riots,2
Thailand,2021-01-01,Strategic developments,7
Thailand,2021-01-01,Violence against civilians,6
Trinidad and Tobago,2021-01-01,Battles,3
Trinidad and Tobago,2021-01-01,Explosions/Remote violence,0
Trinidad and Tobago,2021-01-01,Protests,5
Trinidad and Tobago,2021-01-01,Riots,3
Trinidad and Tobago,2021-01-01,Strategic developments,0
Trinidad and Tobago,2021-01-01,Violence against civilians,10
Turkey,2021-01-01,Battles,10
Turkey,2021-01-01,Explosions/Remote violence,20
Turkey,2021-01-01,Protests,234
Turkey,2021-01-01,Riots,5
Turkey,2021-01-01,Strategic developments,168
Turkey,2021-01-01,Violence against civilians,6
Uganda,2021-01-01,Battles,1
Uganda,2021-01-01,Explosions/Remote violence,0
Uganda,2021-01-01,Protests,15
Uganda,2021-01-01,Riots,40
Uganda,2021-01-01,Strategic developments,10
Uganda,2021-01-01,Violence against civilians,53
Ukraine,2021-01-01,Battles,180
Ukraine,2021-01-01,Explosions/Remote violence,209
Ukraine,2021-01-01,Protests,194
Ukraine,2021-01-01,Riots,4
Ukraine,2021-01-01,Strategic developments,7
Ukraine,2021-01-01,Violence against civilians,1
Venezuela,2021-01-01,Battles,107
Venezuela,2021-01-01,Explosions/Remote violence,3
Venezuela,2021-01-01,Protests,128
Venezuela,2021-01-01,Riots,6
Venezuela,2021-01-01,Strategic developments,6
Venezuela,2021-01-01,Violence against civilians,39
Yemen,2021-01-01,Battles,176
Yemen,2021-01-01,Explosions/Remote violence,338
Yemen,2021-01-01,Protests,183
Yemen,2021-01-01,Riots,7
Yemen,2021-01-01,Strategic developments,49
Yemen,2021-01-01,Violence against civilians,59
Zambia,2021-01-01,Battles,1
Zambia,2021-01-01,Explosions/Remote violence,0
Zambia,2021-01-01,Protests,0
Zambia,2021-01-01,Riots,0
Zambia,2021-01-01,Strategic developments,0
Zambia,2021-01-01,Violence against civilians,0
Armenia,2021-01-01,Battles,0
Armenia,2021-01-01,Explosions/Remote violence,1
Armenia,2021-01-01,Protests,21
Armenia,2021-01-01,Riots,1
Armenia,2021-01-01,Strategic developments,0
Armenia,2021-01-01,Violence against civilians,0
Djibouti,2021-01-01,Battles,0
Djibouti,2021-01-01,Explosions/Remote violence,1
Djibouti,2021-01-01,Protests,7
Djibouti,2021-01-01,Riots,0
Djibouti,2021-01-01,Strategic developments,0
Djibouti,2021-01-01,Violence against civilians,1
Mauritania,2021-01-01,Battles,0
Mauritania,2021-01-01,Explosions/Remote violence,1
Mauritania,2021-01-01,Protests,31
Mauritania,2021-01-01,Riots,0
Mauritania,2021-01-01,Strategic developments,0
Mauritania,2021-01-01,Violence against civilians,0
Morocco,2021-01-01,Battles,0
Morocco,2021-01-01,Explosions/Remote violence,1
Morocco,2021-01-01,Protests,110
Morocco,2021-01-01,Riots,0
Morocco,2021-01-01,Strategic developments,0
Morocco,2021-01-01,Violence against civilians,0
Nepal,2021-01-01,Battles,0
Nepal,2021-01-01,Explosions/Remote violence,2
Nepal,2021-01-01,Protests,593
Nepal,2021-01-01,Riots,39
Nepal,2021-01-01,Strategic developments,5
Nepal,2021-01-01,Violence against civilians,5
Saudi Arabia,2021-01-01,Battles,0
Saudi Arabia,2021-01-01,Explosions/Remote violence,2
Saudi Arabia,2021-01-01,Protests,0
Saudi Arabia,2021-01-01,Riots,0
Saudi Arabia,2021-01-01,Strategic developments,2
Saudi Arabia,2021-01-01,Violence against civilians,0
Tunisia,2021-01-01,Battles,0
Tunisia,2021-01-01,Explosions/Remote violence,1
Tunisia,2021-01-01,Protests,82
Tunisia,2021-01-01,Riots,135
Tunisia,2021-01-01,Strategic developments,0
Tunisia,2021-01-01,Violence against civilians,1
United States,2021-01-01,Battles,0
United States,2021-01-01,Explosions/Remote violence,2
United States,2021-01-01,Protests,1203
United States,2021-01-01,Riots,37
United States,2021-01-01,Strategic developments,109
United States,2021-01-01,Violence against civilians,13
Albania,2021-01-01,Battles,0
Albania,2021-01-01,Explosions/Remote violence,0
Albania,2021-01-01,Protests,6
Albania,2021-01-01,Riots,0
Albania,2021-01-01,Strategic developments,0
Albania,2021-01-01,Violence against civilians,0
Andorra,2021-01-01,Battles,0
Andorra,2021-01-01,Explosions/Remote violence,0
Andorra,2021-01-01,Protests,1
Andorra,2021-01-01,Riots,0
Andorra,2021-01-01,Strategic developments,0
Andorra,2021-01-01,Violence against civilians,0
Angola,2021-01-01,Battles,0
Angola,2021-01-01,Explosions/Remote violence,0
Angola,2021-01-01,Protests,10
Angola,2021-01-01,Riots,2
Angola,2021-01-01,Strategic developments,0
Angola,2021-01-01,Violence against civilians,2
Argentina,2021-01-01,Battles,0
Argentina,2021-01-01,Explosions/Remote violence,0
Argentina,2021-01-01,Protests,197
Argentina,2021-01-01,Riots,3
Argentina,2021-01-01,Strategic developments,0
Argentina,2021-01-01,Violence against civilians,1
Australia,2021-01-01,Battles,0
Australia,2021-01-01,Explosions/Remote violence,0
Australia,2021-01-01,Protests,22
Australia,2021-01-01,Riots,2
Australia,2021-01-01,Strategic developments,0
Australia,2021-01-01,Violence against civilians,0
Austria,2021-01-01,Battles,0
Austria,2021-01-01,Explosions/Remote violence,0
Austria,2021-01-01,Protests,103
Austria,2021-01-01,Riots,3
Austria,2021-01-01,Strategic developments,0
Austria,2021-01-01,Violence against civilians,0
Bahrain,2021-01-01,Battles,0
Bahrain,2021-01-01,Explosions/Remote violence,0
Bahrain,2021-01-01,Protests,4
Bahrain,2021-01-01,Riots,13
Bahrain,2021-01-01,Strategic developments,0
Bahrain,2021-01-01,Violence against civilians,0
Belarus,2021-01-01,Battles,0
Belarus,2021-01-01,Explosions/Remote violence,0
Belarus,2021-01-01,Protests,361
Belarus,2021-01-01,Riots,0
Belarus,2021-01-01,Strategic developments,0
Belarus,2021-01-01,Violence against civilians,1
Belgium,2021-01-01,Battles,0
Belgium,2021-01-01,Explosions/Remote violence,0
Belgium,2021-01-01,Protests,37
Belgium,2021-01-01,Riots,1
Belgium,2021-01-01,Strategic developments,0
Belgium,2021-01-01,Violence against civilians,0
Bolivia,2021-01-01,Battles,0
Bolivia,2021-01-01,Explosions/Remote violence,0
Bolivia,2021-01-01,Protests,68
Bolivia,2021-01-01,Riots,7
Bolivia,2021-01-01,Strategic developments,0
Bolivia,2021-01-01,Violence against civilians,0
Bosnia and Herzegovina,2021-01-01,Battles,0
Bosnia and Herzegovina,2021-01-01,Explosions/Remote violence,0
Bosnia and Herzegovina,2021-01-01,Protests,12
Bosnia and Herzegovina,2021-01-01,Riots,0
Bosnia and Herzegovina,2021-01-01,Strategic developments,0
Bosnia and Herzegovina,2021-01-01,Violence against civilians,0
Bulgaria,2021-01-01,Battles,0
Bulgaria,2021-01-01,Explosions/Remote violence,0
Bulgaria,2021-01-01,Protests,39
Bulgaria,2021-01-01,Riots,1
Bulgaria,2021-01-01,Strategic developments,0
Bulgaria,2021-01-01,Violence against civilians,0
Cambodia,2021-01-01,Battles,0
Cambodia,2021-01-01,Explosions/Remote violence,0
Cambodia,2021-01-01,Protests,5
Cambodia,2021-01-01,Riots,1
Cambodia,2021-01-01,Strategic developments,0
Cambodia,2021-01-01,Violence against civilians,1
Canada,2021-01-01,Battles,0
Canada,2021-01-01,Explosions/Remote violence,0
Canada,2021-01-01,Protests,94
Canada,2021-01-01,Riots,1
Canada,2021-01-01,Strategic developments,1
Canada,2021-01-01,Violence against civilians,0
Cape Verde,2021-01-01,Battles,0
Cape Verde,2021-01-01,Explosions/Remote violence,0
Cape Verde,2021-01-01,Protests,6
Cape Verde,2021-01-01,Riots,0
Cape Verde,2021-01-01,Strategic developments,0
Cape Verde,2021-01-01,Violence against civilians,0
China,2021-01-01,Battles,0
China,2021-01-01,Explosions/Remote violence,0
China,2021-01-01,Protests,120
China,2021-01-01,Riots,1
China,2021-01-01,Strategic developments,11
China,2021-01-01,Violence against civilians,16
Costa Rica,2021-01-01,Battles,0
Costa Rica,2021-01-01,Explosions/Remote violence,0
Costa Rica,2021-01-01,Protests,6
Costa Rica,2021-01-01,Riots,0
Costa Rica,2021-01-01,Strategic developments,0
Costa Rica,2021-01-01,Violence against civilians,1
Croatia,2021-01-01,Battles,0
Croatia,2021-01-01,Explosions/Remote violence,0
Croatia,2021-01-01,Protests,6
Croatia,2021-01-01,Riots,0
Croatia,2021-01-01,Strategic developments,0
Croatia,2021-01-01,Violence against civilians,0
Cuba,2021-01-01,Battles,0
Cuba,2021-01-01,Explosions/Remote violence,0
Cuba,2021-01-01,Protests,2
Cuba,2021-01-01,Riots,0
Cuba,2021-01-01,Strategic developments,3
Cuba,2021-01-01,Violence against civilians,5
Cyprus,2021-01-01,Battles,0
Cyprus,2021-01-01,Explosions/Remote violence,0
Cyprus,2021-01-01,Protests,16
Cyprus,2021-01-01,Riots,1
Cyprus,2021-01-01,Strategic developments,1
Cyprus,2021-01-01,Violence against civilians,0
Czech Republic,2021-01-01,Battles,0
Czech Republic,2021-01-01,Explosions/Remote violence,0
Czech Republic,2021-01-01,Protests,16
Czech Republic,2021-01-01,Riots,0
Czech Republic,2021-01-01,Strategic developments,0
Czech Republic,2021-01-01,Violence against civilians,0
Denmark,2021-01-01,Battles,0
Denmark,2021-01-01,Explosions/Remote violence,0
Denmark,2021-01-01,Protests,27
Denmark,2021-01-01,Riots,2
Denmark,2021-01-01,Strategic developments,0
Denmark,2021-01-01,Violence against civilians,0
Dominican Republic,2021-01-01,Battles,0
Dominican Republic,2021-01-01,Explosions/Remote violence,0
Dominican Republic,2021-01-01,Protests,1
Dominican Republic,2021-01-01,Riots,0
Dominican Republic,2021-01-01,Strategic developments,0
Dominican Republic,2021-01-01,Violence against civilians,0
East Timor,2021-01-01,Battles,0
East Timor,2021-01-01,Explosions/Remote violence,0
East Timor,2021-01-01,Protests,1
East Timor,2021-01-01,Riots,0
East Timor,2021-01-01,Strategic developments,0
East Timor,2021-01-01,Violence against civilians,0
Ecuador,2021-01-01,Battles,0
Ecuador,2021-01-01,Explosions/Remote violence,0
Ecuador,2021-01-01,Protests,14
Ecuador,2021-01-01,Riots,2
Ecuador,2021-01-01,Strategic developments,0
Ecuador,2021-01-01,Violence against civilians,1
Estonia,2021-01-01,Battles,0
Estonia,2021-01-01,Explosions/Remote violence,0
Estonia,2021-01-01,Protests,16
Estonia,2021-01-01,Riots,0
Estonia,2021-01-01,Strategic developments,0
Estonia,2021-01-01,Violence against civilians,0
Finland,2021-01-01,Battles,0
Finland,2021-01-01,Explosions/Remote violence,0
Finland,2021-01-01,Protests,10
Finland,2021-01-01,Riots,0
Finland,2021-01-01,Strategic developments,0
Finland,2021-01-01,Violence against civilians,0
France,2021-01-01,Battles,0
France,2021-01-01,Explosions/Remote violence,0
France,2021-01-01,Protests,633
France,2021-01-01,Riots,18
France,2021-01-01,Strategic developments,3
France,2021-01-01,Violence against civilians,1
French Guiana,2021-01-01,Battles,0
French Guiana,2021-01-01,Explosions/Remote violence,0
French Guiana,2021-01-01,Protests,2
French Guiana,2021-01-01,Riots,0
French Guiana,2021-01-01,Strategic developments,0
French Guiana,2021-01-01,Violence against civilians,0
French Polynesia,2021-01-01,Battles,0
French Polynesia,2021-01-01,Explosions/Remote violence,0
French Polynesia,2021-01-01,Protests,2
French Polynesia,2021-01-01,Riots,0
French Polynesia,2021-01-01,Strategic developments,0
French Polynesia,2021-01-01,Violence against civilians,0
Gabon,2021-01-01,Battles,0
Gabon,2021-01-01,Explosions/Remote violence,0
Gabon,2021-01-01,Protests,1
Gabon,2021-01-01,Riots,0
Gabon,2021-01-01,Strategic developments,0
Gabon,2021-01-01,Violence against civilians,0
Georgia,2021-01-01,Battles,0
Georgia,2021-01-01,Explosions/Remote violence,0
Georgia,2021-01-01,Protests,84
Georgia,2021-01-01,Riots,6
Georgia,2021-01-01,Strategic developments,0
Georgia,2021-01-01,Violence against civilians,0
Germany,2021-01-01,Battles,0
Germany,2021-01-01,Explosions/Remote violence,0
Germany,2021-01-01,Protests,228
Germany,2021-01-01,Riots,7
Germany,2021-01-01,Strategic developments,17
Germany,2021-01-01,Violence against civilians,1
Ghana,2021-01-01,Battles,0
Ghana,2021-01-01,Explosions/Remote violence,0
Ghana,2021-01-01,Protests,9
Ghana,2021-01-01,Riots,6
Ghana,2021-01-01,Strategic developments,6
Ghana,2021-01-01,Violence against civilians,1
Guadeloupe,2021-01-01,Battles,0
Guadeloupe,2021-01-01,Explosions/Remote violence,0
Guadeloupe,2021-01-01,Protests,6
Guadeloupe,2021-01-01,Riots,0
Guadeloupe,2021-01-01,Strategic developments,0
Guadeloupe,2021-01-01,Violence against civilians,0
Guinea,2021-01-01,Battles,0
Guinea,2021-01-01,Explosions/Remote violence,0
Guinea,2021-01-01,Protests,8
Guinea,2021-01-01,Riots,8
Guinea,2021-01-01,Strategic developments,1
Guinea,2021-01-01,Violence against civilians,1
Guinea-Bissau,2021-01-01,Battles,0
Guinea-Bissau,2021-01-01,Explosions/Remote violence,0
Guinea-Bissau,2021-01-01,Protests,2
Guinea-Bissau,2021-01-01,Riots,1
Guinea-Bissau,2021-01-01,Strategic developments,0
Guinea-Bissau,2021-01-01,Violence against civilians,0
Hungary,2021-01-01,Battles,0
Hungary,2021-01-01,Explosions/Remote violence,0
Hungary,2021-01-01,Protests,3
Hungary,2021-01-01,Riots,0
Hungary,2021-01-01,Strategic developments,0
Hungary,2021-01-01,Violence against civilians,0
Iceland,2021-01-01,Battles,0
Iceland,2021-01-01,Explosions/Remote violence,0
Iceland,2021-01-01,Protests,1
Iceland,2021-01-01,Riots,0
Iceland,2021-01-01,Strategic developments,2
Iceland,2021-01-01,Violence against civilians,0
Ireland,2021-01-01,Battles,0
Ireland,2021-01-01,Explosions/Remote violence,0
Ireland,2021-01-01,Protests,15
Ireland,2021-01-01,Riots,0
Ireland,2021-01-01,Strategic developments,0
Ireland,2021-01-01,Violence against civilians,0
Israel,2021-01-01,Battles,0
Israel,2021-01-01,Explosions/Remote violence,0
Israel,2021-01-01,Protests,131
Israel,2021-01-01,Riots,39
Israel,2021-01-01,Strategic developments,5
Israel,2021-01-01,Violence against civilians,0
Italy,2021-01-01,Battles,0
Italy,2021-01-01,Explosions/Remote violence,0
Italy,2021-01-01,Protests,570
Italy,2021-01-01,Riots,10
Italy,2021-01-01,Strategic developments,8
Italy,2021-01-01,Violence against civilians,0
Ivory Coast,2021-01-01,Battles,0
Ivory Coast,2021-01-01,Explosions/Remote violence,0
Ivory Coast,2021-01-01,Protests,2
Ivory Coast,2021-01-01,Riots,4
Ivory Coast,2021-01-01,Strategic developments,0
Ivory Coast,2021-01-01,Violence against civilians,0
Japan,2021-01-01,Battles,0
Japan,2021-01-01,Explosions/Remote violence,0
Japan,2021-01-01,Protests,87
Japan,2021-01-01,Riots,0
Japan,2021-01-01,Strategic developments,0
Japan,2021-01-01,Violence against civilians,0
Jordan,2021-01-01,Battles,0
Jordan,2021-01-01,Explosions/Remote violence,0
Jordan,2021-01-01,Protests,13
